Año;Empresa;inversion_minera;canon_minero;produccion_valor;empleo_local;pasivos_ambientales;multa_ambiental;NBI;num_conflictos;sentimiento_social
2020;Compañía de Minas Buenaventura;54622512;267747528;6378019495;2254;180;0;0.113636364;1;0.1751
2021;Compañía de Minas Buenaventura;66416870;470794033.8;11104454181;2055;336;887414;0.167883212;1;0.1631
2022;Compañía de Minas Buenaventura;113030996;355908440;8332862593;1907;376;2282957;0.166666667;1;0.1757
2023;Compañía de Minas Buenaventura;182290821;160673244.3;3724885375;1798;1788;4445671.725;0.12195122;0;0.1496
2024;Compañía de Minas Buenaventura;296055613;610193491.6;14306285163;2175;3092;3075271;0.051094891;1;0.1348
2020;Minera Yanacocha;107990402;30967445.85;599853672.7;60;0;0;0.045016077;9;-0.1529
2021;Minera Yanacocha;168914379;24774354.1;479890636.4;52;0;1035228.04;0.023715415;12;-0.209
2022;Minera Yanacocha;422444623;22887905;443349249.4;43;0;0;0.025641026;12;-0.1798
2023;Minera Yanacocha;306620374;27837792.53;539230848;11;0;950325.75;0.025104603;12;-0.2207
2024;Minera Yanacocha;65111726;44042994.13;853133058.3;3900;0;423196.1;0.046808511;8;-0.229
2020;Volcan Compañía Minera;54259853;1295255438;29027171023;11564;39;1131579.4;0.149484536;8;-0.0562
2021;Volcan Compañía Minera;105667974;2402339714;53587875514;16720;15;352000;0.1375;9;-0.0305
2022;Volcan Compañía Minera;140178846;2786125794;62324484419;17864;87;305315.8;0.179856115;12;-0.1318
2023;Volcan Compañía Minera;110714117;2491715346;55960988348;12816;54;1864165.05;0.131034483;12;-0.1226
2024;Volcan Compañía Minera;100830336;2483120858;55614594973;8609;156;0;0.082278481;9;-0.0716
2020;Compañía Minera Antapaccay;61214596;7016789563;1.18952E+11;1271;11;0;0.087719298;8;-0.0302
2021;Compañía Minera Antapaccay;263988438;9391875437;1.59208E+11;1142;0;1270297.6;0.103448276;10;-0.0247
2022;Compañía Minera Antapaccay;116764275;7847788808;1.3303E+11;1522;0;287178;0.061538462;6;-0.0362
2023;Compañía Minera Antapaccay;158767291;8631618203;1.46325E+11;1339;0;890539.65;0.075471698;12;-0.0546
2024;Compañía Minera Antapaccay;152145295;7797692545;1.32192E+11;1748;0;0;0.101694915;9;-0.0213
2020;Minera Las Bambas;205684173;11646619625;1.974E+11;726;0;0;0.065217391;9;-0.3403
2021;Minera Las Bambas;231518557;16009204073;2.71342E+11;591;0;105754;0.133333333;12;-0.2492
2022;Minera Las Bambas;219334123;13009035516;2.20492E+11;600;3;116780.2;0.096774194;12;-0.1974
2023;Minera Las Bambas;241152091;15047933053;2.5505E+11;936;1;0;0.19047619;12;-0.1749
2024;Minera Las Bambas;385429153;17423336560;2.95343E+11;1016;1;67980;0.033333333;9;-0.1202
2020;Minera Chinalco Perú;307259541;7957653721;1.3676E+11;2262;0;0;0;2;0.0919
2021;Minera Chinalco Perú;234489325;13786189403;2.37941E+11;6486;0;1008990.4;0;2;0.0786
2022;Minera Chinalco Perú;182910939;13227049559;2.2799E+11;7646;0;0;0;7;-0.0397
2023;Minera Chinalco Perú;150154568;10699130545;1.85064E+11;5380;0;297000;0;12;-0.0798
2024;Minera Chinalco Perú;232603176;11816942201;2.04159E+11;2163;3;4681.35;0;1;0.0734
2020;Nexa Resources Perú;43531732;2232582792;44724490059;1317;0;0;0;9;-0.0997
2021;Nexa Resources Perú;59116696;3221292358;63910366247;252;0;9658;0.222222222;12;-0.106
2022;Nexa Resources Perú;49131130;3327815360;65773882951;201;1;700037.2;0.454545455;10;-0.0805
2023;Nexa Resources Perú;53107423;2614880783;51083922266;369;1;0;0.5;12;-0.0878
2024;Nexa Resources Perú;48925098;2981549782;58197313646;122;2;30256.25;0.545454545;9;-0.1012
2020;Sociedad Minera El Brocal;14736740;2004032138;39338027773;4651;3;0;0.22;1;-0.0513
